,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState6,NHOHCount,NOCount,MolLogP,fr_NH2
82,83,5.49167666,10.54736111,-1.116898148,10.54736111,-0.683555528,20.95152066,0.0,20.01239037,99.83,17.91832585,14.69560176,5.316788604,0.0,-0.967222222,4,5,-3.684,2
83,84,5.131059164,11.00685185,-0.590277778,11.00685185,-0.130050446,16.20419791,0.0,14.32593732,95.41,23.65017155,9.589074368,0.0,0.0,0.0,4,5,-1.4734,2
84,85,4.97760811,11.45324074,-0.368055556,11.45324074,-0.14215269,4.736862954,0.0,14.32593732,72.63,0.0,9.589074368,0.0,0.0,0.0,2,5,-1.2015,1
85,86,5.096688482,3.962592593,0.653333333,3.962592593,0.842488642,9.799819462,0.0,0.0,57.58,0.0,0.0,0.0,20.39472723,0.0,0,6,-1.0934,0
86,87,4.645041534,3.796111111,0.798611111,3.796111111,0.464004103,5.316788604,10.42677019,0.0,55.63,0.0,0.0,0.0,20.8422406,0.0,1,5,-1.2237,0
87,88,4.589762763,3.0625,0.9375,3.0625,0.44309471,0.0,0.0,0.0,36.09,0.0,0.0,0.0,15.95036581,0.0,3,3,-1.3587,0
88,89,4.597039849,3.820694444,0.550925926,3.820694444,0.483459425,0.0,20.85354038,0.0,87.2,0.0,0.0,0.0,31.050904,0.0,0,8,-1.9304,0
89,90,4.952388647,10.4675,-0.538055556,10.4675,-0.119717424,15.16017895,0.0,14.63792753,58.56,6.103966388,4.794537184,6.9237372,5.316788604,-0.210648148,2,4,-1.1178,0
90,91,5.223582532,10.72619237,-0.907175926,10.72619237,-0.202083768,20.26670635,6.9237372,19.74445493,78.79,24.53980033,15.00759197,6.9237372,5.316788604,-0.420138889,3,5,-1.0208,0
91,92,5.026155603,10.78509023,-0.552075775,10.78509023,-0.119892286,19.89704191,0.0,19.37479049,67.79,6.103966388,9.901064579,6.9237372,5.316788604,-0.111435185,2,5,-1.3504,0
92,93,5.500047563,11.41393519,-0.995185185,11.41393519,-0.142885401,0.0,0.0,19.17814874,83.55,35.46453101,19.17814874,7.047671983,0.0,0.0,1,6,-1.7361,0
93,94,5.515075391,11.41393519,-0.995185185,11.41393519,-0.142885401,0.0,0.0,19.17814874,83.55,35.46453101,19.17814874,7.047671983,0.0,0.0,1,6,-1.7361,0
94,95,5.016151144,8.280694444,0.014444444,8.280694444,0.110971525,10.21305479,7.047671983,10.21305479,43.7,0.0,0.0,0.0,0.0,0.0,2,3,-1.1397,0
95,96,5.396554048,10.36226852,-0.203703704,10.36226852,-0.139689741,10.63357721,0.0,4.794537184,46.33,0.0,4.794537184,0.0,0.0,-0.203703704,2,3,-1.2143,1
96,97,5.294301405,11.11166667,-0.744027778,11.11166667,-0.123531494,10.21305479,7.047671983,15.00759197,60.77,12.20793278,15.00759197,0.0,0.0,-0.321759259,2,4,-1.2463,0
97,98,4.538520861,8.431064815,-0.173611111,8.431064815,0.265727005,15.19703331,0.0,10.21305479,82.03,0.0,0.0,0.0,15.18134214,0.0,3,5,-1.2107,0
98,99,5.134270491,10.73333333,-0.793402778,10.73333333,-0.143756459,15.78731903,6.9237372,9.531400138,64.35,11.50823054,4.794537184,0.0,5.316788604,0.0,3,4,-1.1498,1
99,100,5.256432486,9.143842593,-1.21412037,9.143842593,-0.214699157,25.79011262,6.9237372,20.05644514,95.94,30.64376672,0.0,0.0,0.0,0.0,5,5,-2.2274,1
100,101,4.903659104,9.13837963,-1.189814815,9.13837963,0.13075111,5.207253025,5.176881928,5.207253025,87.71,6.289710395,0.0,5.480096598,10.91054941,0.0,4,5,-1.0261,1
101,102,5.23943279,9.143842593,-1.21412037,9.143842593,-0.214699157,25.79011262,6.9237372,20.05644514,95.94,30.64376672,0.0,0.0,0.0,0.0,5,5,-2.2274,1
102,103,4.790589732,10.69796296,-0.479166667,10.69796296,-0.121708899,15.78731903,0.0,9.531400138,64.35,6.041840829,4.794537184,0.0,5.316788604,-0.479166667,3,4,-1.5399,1
103,104,4.750039288,10.69796296,-0.479166667,10.69796296,-0.121708899,15.78731903,0.0,9.531400138,64.35,6.041840829,4.794537184,0.0,5.316788604,-0.479166667,3,4,-1.5399,1
104,105,5.195233713,9.17537037,-1.158888889,9.17537037,-0.100511716,25.74289818,0.0,20.42610958,92.95,24.35373999,5.106527395,0.0,5.316788604,-0.533888889,5,5,-2.9668,0
105,106,5.309285378,9.199537037,-1.346712963,9.199537037,-0.248306319,30.89664001,0.0,25.16297253,116.17,37.25064869,10.21305479,0.0,0.0,-1.039074074,6,6,-3.255,1
106,107,5.285684961,9.199537037,-1.346712963,9.199537037,-0.248306319,30.89664001,0.0,25.16297253,116.17,37.25064869,10.21305479,0.0,0.0,-1.039074074,6,6,-3.255,1
107,108,5.232995314,10.38837963,-0.712962963,10.38837963,-0.120321322,16.15698348,0.0,9.901064579,75.35,12.14580722,4.794537184,0.0,5.316788604,-0.712962963,4,4,-2.1956,1
108,109,4.29119192,10.55712963,-0.810185185,10.55712963,-0.123443564,16.15698348,6.9237372,9.901064579,75.35,12.14580722,4.794537184,13.97140918,5.316788604,-0.810185185,4,4,-1.5595,1
109,110,5.384622631,10.61807162,-0.991189531,10.61807162,-0.13692179,16.0344346,0.0,9.589074368,100.87,11.81435946,9.589074368,6.327320075,15.28474565,0.0,4,6,-1.4888,1
110,111,4.904233878,10.294375,-0.452546296,10.294375,-0.124835985,16.20419791,0.0,9.531400138,78.34,5.538925252,4.794537184,0.0,0.0,0.0,4,4,-1.4105,2
111,112,5.010637027,10.20722222,-0.399166667,10.20722222,-0.116947426,5.733667477,0.0,4.794537184,84.66,5.907179729,4.794537184,6.196843572,15.41074871,0.0,3,5,-1.1675,1
112,113,4.786548147,10.61227915,-0.552685185,10.61227915,-0.119477586,16.20419791,0.0,9.531400138,81.58,11.94902056,4.794537184,0.0,4.899909731,-0.552685185,4,5,-1.8688,2
113,114,5.839969523,10.18962963,-1.041666667,10.18962963,-0.664686509,20.95152066,0.0,15.21785318,82.76,12.01114612,9.901064579,0.0,0.0,-0.722222222,4,4,-3.6007,2
114,115,5.662350189,10.20087963,-1.017361111,10.20087963,-0.63782176,20.95152066,0.0,15.21785318,82.76,11.88721133,9.901064579,0.0,0.0,-0.212962963,4,4,-3.7432,2
115,116,5.234835108,8.95662037,-1.190972222,8.95662037,-0.184381484,25.79011262,0.0,20.05644514,95.94,24.53980033,0.0,0.0,0.0,0.0,5,5,-2.6159,1
116,117,5.344745927,9.332037037,-1.245740741,9.332037037,-0.216576958,30.99736564,0.0,25.26369816,128.2,37.18852313,10.21305479,0.0,0.0,-0.941851852,7,7,-3.2685,1
117,118,5.323849175,9.332037037,-1.245740741,9.332037037,-0.216576958,30.99736564,0.0,25.26369816,128.2,37.18852313,10.21305479,0.0,0.0,-0.941851852,7,7,-3.2685,1
118,119,5.33939934,9.332037037,-1.245740741,9.332037037,-0.216576958,30.99736564,0.0,25.26369816,128.2,37.18852313,10.21305479,0.0,0.0,-0.941851852,7,7,-3.2685,1
119,120,5.830451191,10.18962963,-1.041666667,10.18962963,-0.664686509,20.95152066,0.0,15.21785318,82.76,12.01114612,9.901064579,0.0,0.0,-0.722222222,4,4,-3.6007,2
120,121,5.84427559,10.18962963,-1.041666667,10.18962963,-0.664686509,20.95152066,0.0,15.21785318,82.76,12.01114612,9.901064579,0.0,0.0,-0.722222222,4,4,-3.6007,2
121,122,6.046848661,10.14921296,-0.997268519,10.14921296,-0.664430626,20.95152066,0.0,15.21785318,82.76,12.01114612,9.901064579,0.0,0.0,-0.367685185,4,4,-3.6007,2
122,123,5.682794225,10.20087963,-1.017361111,10.20087963,-0.63782176,20.95152066,0.0,15.21785318,82.76,11.88721133,9.901064579,0.0,0.0,-0.212962963,4,4,-3.7432,2
123,124,5.665057308,10.20087963,-1.017361111,10.20087963,-0.63782176,20.95152066,0.0,15.21785318,82.76,11.88721133,9.901064579,0.0,0.0,-0.212962963,4,4,-3.7432,2
124,125,5.23782595,8.95662037,-1.190972222,8.95662037,-0.184381484,25.79011262,0.0,20.05644514,95.94,24.53980033,0.0,0.0,0.0,0.0,5,5,-2.6159,1
125,126,5.25283178,10.12680556,-0.094907407,10.12680556,-0.117846277,10.84019487,0.0,9.901064579,63.32,0.0,4.794537184,0.0,0.0,0.0,3,3,-1.1034,1
126,127,5.570730429,10.47055556,-1.317777778,10.47055556,-0.435827371,21.36839953,0.0,20.42926924,110.86,12.01114612,14.69560176,0.0,5.733667477,-0.97587963,5,5,-3.7353,1
127,128,5.575958239,10.47055556,-1.317777778,10.47055556,-0.435827371,21.36839953,0.0,20.42926924,110.86,12.01114612,14.69560176,0.0,5.733667477,-0.97587963,5,5,-3.7353,1
128,129,4.231644608,10.55712963,-0.810185185,10.55712963,-0.123443564,16.15698348,6.9237372,9.901064579,75.35,12.14580722,4.794537184,13.97140918,5.316788604,-0.810185185,4,4,-1.5595,1
129,130,5.18901563,9.17079932,-0.575549887,9.17079932,0.043414555,15.11296452,7.047671983,10.21305479,46.94,6.103966388,5.106527395,0.0,16.84749144,0.0,2,4,-1.413,0
130,131,5.113436263,10.73333333,-0.793402778,10.73333333,-0.143756459,15.78731903,6.9237372,9.531400138,64.35,11.50823054,4.794537184,0.0,5.316788604,0.0,3,4,-1.1498,1
131,132,5.149344698,9.17079932,-0.575549887,9.17079932,0.043414555,15.11296452,7.047671983,10.21305479,46.94,6.103966388,5.106527395,0.0,16.84749144,0.0,2,4,-1.413,0
132,133,5.32426774,11.11166667,-0.744027778,11.11166667,-0.123531494,10.21305479,7.047671983,15.00759197,60.77,12.20793278,15.00759197,0.0,0.0,-0.321759259,2,4,-1.2463,0
133,134,4.692895961,10.80991119,-0.168703704,10.80991119,-0.12123156,15.7401046,0.0,14.69560176,78.43,0.0,9.589074368,6.9237372,10.63357721,0.0,3,5,-1.3789,0
134,135,4.583274526,10.34946854,-1.480185185,10.34946854,-0.131054626,20.846632,0.0,19.80212916,98.66,24.2701618,9.589074368,13.8474744,0.0,0.0,4,6,-2.1046,0
135,136,4.519915565,10.34946854,-1.480185185,10.34946854,-0.131054626,20.846632,0.0,19.80212916,98.66,24.2701618,9.589074368,13.8474744,0.0,0.0,4,6,-2.1046,0
136,137,4.985345455,10.24226852,-0.56712963,10.24226852,-0.125283257,11.05045608,6.9237372,9.589074368,72.19,11.94902056,9.589074368,13.8474744,5.316788604,-0.56712963,3,4,-1.0037,1
137,138,4.609125147,10.34946854,-1.480185185,10.34946854,-0.131054626,20.846632,0.0,19.80212916,98.66,24.2701618,9.589074368,13.8474744,0.0,0.0,4,6,-2.1046,0
138,139,4.975907263,11.12414352,-1.260138889,11.12414352,-0.136727791,20.63637079,0.0,20.11411937,89.79,17.42613659,9.901064579,0.0,5.316788604,0.0,4,5,-1.5257,0
139,140,4.985099141,11.12414352,-1.260138889,11.12414352,-0.136727791,20.63637079,0.0,20.11411937,89.79,17.42613659,9.901064579,0.0,5.316788604,0.0,4,5,-1.5257,0
