,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,Chi1v,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA1,SlogP_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState3,VSA_EState6,NHOHCount,NOCount,NumHeteroatoms,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_NH2
75,76,5.051415087,10.89289352,-1.136643519,10.89289352,16.28828158,-0.131074081,3.667910752,20.63637079,0.0,13.8474744,18.75268918,20.11411937,5.316788604,89.79,17.55007137,4.794537184,13.8474744,5.316788604,28.62238568,0.0,4,5,5,-1.7733,42.4001,3,3,0
76,77,4.189966046,10.5750463,-1.001157407,10.5750463,16.28498697,-0.128368627,3.175699279,15.52984339,0.0,13.8474744,6.103966388,15.00759197,5.316788604,69.56,18.1151125,4.794537184,6.9237372,5.316788604,19.66937642,0.0,3,4,4,-1.1358,36.3713,2,2,0
77,78,5.087211956,9.916666667,-1.787222222,9.916666667,16.66343525,-0.18538588,4.103695182,25.16297253,0.0,20.7712116,6.606881965,25.16297253,0.0,90.15,29.70006113,15.31958218,20.7712116,0.0,37.95768519,0.0,4,5,5,-1.412,43.8302,4,2,0
78,79,5.258427051,11.18481481,-0.58625,11.18481481,16.25695427,0.480755869,3.603632548,10.09050592,0.0,0.0,0.0,5.106527395,11.24901029,90.88,11.24901029,14.69560176,17.8116152,9.967957042,9.339915911,0.0,3,6,6,-0.7395,45.8252,0,0,0
79,80,4.129077278,10.77325728,-0.618132559,10.77325728,16.46146506,-0.138417036,3.708725106,15.37044016,0.0,6.420821623,0.0,14.32593732,10.63357721,67.43,11.81435946,9.589074368,7.047671983,10.63357721,4.660585632,0.0,2,5,5,-1.1149,43.5694,0,0,0
80,81,4.095594893,10.67018896,-0.637867536,10.67018896,16.46222916,-0.138496902,3.208725106,15.37044016,0.0,0.0,6.606881965,14.32593732,10.63357721,67.43,11.81435946,9.589074368,14.15746952,15.37044016,4.558145077,0.0,2,5,5,-1.505,38.9524,0,0,0
81,82,4.837442923,10.29514952,-0.475470522,10.29514952,16.47753015,0.035705359,3.622386238,15.78731903,0.0,0.0,19.88245512,9.531400138,11.05045608,67.59,6.031114512,4.794537184,0.0,10.21669833,2.524444444,-0.475470522,3,5,5,-1.0556,39.9781,0,0,1
82,83,5.49167666,10.54736111,-1.116898148,10.54736111,16.36810908,-0.683555528,3.461561087,20.95152066,0.0,0.0,5.969305288,20.01239037,16.15698348,99.83,17.91832585,14.69560176,5.316788604,0.0,11.73127079,-0.967222222,4,5,5,-3.684,32.9368,0,0,2
83,84,5.131059164,11.00685185,-0.590277778,11.00685185,16.51051294,-0.130050446,4.03435335,16.20419791,12.15204021,0.0,24.04374487,14.32593732,11.46733495,95.41,23.65017155,9.589074368,0.0,0.0,0.0,0.0,4,5,5,-1.4734,43.1698,0,0,2
84,85,4.97760811,11.45324074,-0.368055556,11.45324074,16.51148167,-0.14215269,4.162415566,4.736862954,12.15204021,0.0,24.04374487,14.32593732,5.84267027,72.63,0.0,9.589074368,0.0,0.0,0.727037037,0.0,2,5,5,-1.2015,40.8214,0,0,1
85,86,5.096688482,3.962592593,0.653333333,3.962592593,15.49772055,0.842488642,4.006551851,9.799819462,0.0,0.0,0.0,0.0,9.799819462,57.58,0.0,0.0,0.0,20.39472723,15.85037037,0.0,0,6,6,-1.0934,42.048,0,0,0
