,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
185,186,31.350229,7.138958434,7.138958434,3.526585998,3.526585998,2.358154351,1.06900522,1.06900522,0.508614263,-1.39,0.0,0.0,0.0,13.08951281,10.63357721,30.68711722,75.27,0.0,2,0,5,0,0,0,2,0,0
186,187,28.9914836,4.347025718,4.347025718,2.38061964,2.38061964,1.999388716,1.29354556,1.29354556,0.536034255,-0.61,0.0,0.0,5.733667477,13.08951281,11.05045608,29.70427075,75.35,3.553055556,4,1,4,1,1,0,1,1,0
187,188,30.4203128,8.66948757,8.66948757,4.914793074,4.914793074,3.670362975,2.018220512,2.018220512,1.335458061,-1.1,0.0,0.0,0.0,26.17902562,10.63357721,48.93513564,61.44,0.0,2,1,5,1,0,0,2,0,0
188,189,35.2186519,3.477162391,3.477162391,1.727727507,1.727727507,0.946923425,0.455341801,0.455341801,0.083333333,-0.41,0.0,0.0,11.46733495,13.08951281,11.46733495,18.87275776,69.11,9.706018519,4,0,3,0,0,0,0,2,0
189,190,34.1571897,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
190,191,34.0590008,4.664862963,4.664862963,2.28369024,2.28369024,1.668755772,0.848251505,0.848251505,0.237728606,-0.61,0.0,0.0,11.46733495,0.0,11.46733495,23.15951434,89.34,9.747685185,5,0,4,0,1,1,0,2,0
191,192,29.2676375,6.959682617,6.959682617,3.928961267,3.928961267,3.238029476,2.366615688,2.366615688,1.501776078,-0.2,0.0,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,1,5,1,4,4,0,0,0
192,193,31.5865046,5.38503052,5.38503052,2.785136228,2.785136228,1.979498742,0.984694357,0.984694357,0.525648328,-0.61,0.0,0.0,0.0,26.74406676,10.00643713,37.81989944,64.8,0.0,2,0,4,0,1,1,1,0,0
193,194,31.0683532,5.6783039,5.6783039,2.792058439,2.792058439,2.336759592,0.930910923,0.930910923,0.523159739,-0.61,0.0,0.0,5.733667477,20.64010037,15.7401046,32.65124649,70.59,5.134537037,3,0,4,0,0,0,1,1,0
194,195,29.6532911,6.015167194,6.015167194,3.382531746,3.382531746,2.177807669,1.466440468,1.466440468,0.894807932,-0.61,0.0,0.0,0.0,26.74406676,10.63357721,38.75521288,50.36,0.0,2,1,4,1,0,0,2,0,1
195,196,31.1504365,5.6783039,5.6783039,2.792058439,2.792058439,2.336759592,0.930910923,0.930910923,0.523159739,-0.61,0.0,0.0,5.733667477,20.64010037,15.7401046,32.65124649,70.59,5.134537037,3,0,4,0,0,0,1,1,0
196,197,30.0746228,6.959682617,6.959682617,3.928961267,3.928961267,3.238029476,2.366615688,2.366615688,1.501776078,-0.2,0.0,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,1,5,1,4,4,0,0,0
197,198,32.4505545,4.717269206,4.717269206,2.30060867,2.30060867,1.403318028,0.779866109,0.779866109,0.268306752,-0.61,0.0,0.0,5.733667477,13.65455395,11.05045608,30.7101019,75.35,5.064953704,4,0,4,0,1,1,1,1,0
198,199,32.1660816,4.717269206,4.717269206,2.30060867,2.30060867,1.403318028,0.779866109,0.779866109,0.268306752,-0.61,0.0,0.0,5.733667477,13.65455395,11.05045608,30.7101019,75.35,5.064953704,4,0,4,0,1,1,1,1,0
199,200,31.3845384,5.515167194,5.515167194,2.877156753,2.877156753,2.044567079,1.017228525,1.017228525,0.581187627,-0.61,0.0,0.0,5.733667477,26.6819412,15.7401046,32.65124649,70.59,5.170976946,3,0,4,0,0,0,1,1,0
200,201,32.9194549,4.717269206,4.717269206,2.471429063,2.471429063,1.963069874,1.108381357,1.108381357,0.694622438,-0.61,5.008912524,0.0,5.733667477,13.59242839,11.15945887,30.55036147,58.36,7.850833333,3,1,4,1,0,0,1,1,0
201,202,29.6869673,4.97678223,4.97678223,2.704238207,2.704238207,2.181243249,1.589703828,1.589703828,0.663143314,-0.12,0.0,0.0,0.0,26.86831788,5.316788604,37.51377052,41.49,-0.111111111,2,1,3,1,1,1,1,0,1
202,203,32.09052,5.962760951,5.962760951,3.353832567,3.353832567,2.495959141,1.475440622,1.475440622,0.96198991,-0.61,0.0,0.0,5.733667477,13.08951281,11.05045608,31.20462532,64.35,5.025462963,3,1,4,1,0,0,1,1,1
203,204,32.2194925,5.962760951,5.962760951,3.353832567,3.353832567,2.495959141,1.475440622,1.475440622,0.96198991,-0.61,0.0,0.0,5.733667477,13.08951281,11.05045608,31.20462532,64.35,5.025462963,3,1,4,1,0,0,1,1,1
204,205,29.8716804,6.959682617,6.959682617,3.928961267,3.928961267,3.238029476,2.366615688,2.366615688,1.501776078,-0.2,0.0,0.0,0.0,20.19931035,0.0,69.87906966,84.16,0.0,4,1,5,1,4,4,0,0,0
205,206,29.6409659,5.333204618,5.333204618,3.105514778,3.105514778,2.490380646,1.72669925,1.72669925,0.968746389,-0.94,0.0,15.41074871,0.0,13.08951281,5.316788604,33.60678892,73.83,-0.153935185,3,1,5,1,1,0,2,0,0
